,workerid,id,response,sentence_a,sentence_b,shift_a,shift_b,slide_number_in_experiment
133,70,153,7.0,John showed the tall church building with the dome from Italy to his sister.,John showed his sister the tall church building with the dome from Italy.,0.0,1.0,28
137,94,358,2.0,Janet went with a large cheap van with space to the crowded folk music concert in the stadium on fourth street.,Janet went to the crowded folk music concert in the stadium on fourth street with a large cheap van with space.,0.0,1.0,5
138,94,342,6.0,Janet discussed about a large annual raise for her project with her new assigned economics team for stock predictions in the company.,Janet discussed with her new assigned economics team for stock predictions in the company about a large annual raise for her project.,0.0,1.0,6
139,94,54,1.0,Melissa made for the party a multilevel vanilla cake with her name in green frosting.,Melissa made a multilevel vanilla cake with her name in green frosting for the party.,0.0,1.0,7
140,94,329,3.0,Janet went in a big heavy loaded truck from the military to advanced economics class in the downtown campus.,Janet went to advanced economics class in the downtown campus in a big heavy loaded truck from the military.,0.0,1.0,8
142,94,351,5.0,Janet chatted about a large raise for the budget for her project during the dedicated internal complaints meeting for speaking with HR about company funding.,Janet chatted during the dedicated internal complaints meeting for speaking with HR about company funding about a large raise for the budget for her project.,1.0,0.0,10
143,94,114,2.0,Melissa baked in her kitchen a multilevel cake with her name in green frosting.,Melissa baked a multilevel cake with her name in green frosting in her kitchen.,1.0,0.0,11
144,94,482,5.0,John brought up the Chrome browser window with the questionnaire with his information for applying to college.,John brought the Chrome browser window with the questionnaire with his information for applying to college up.,1.0,0.0,12
145,94,284,3.0,Janet went in a heavy loaded truck from the military to advanced graduate class on the second floor.,Janet went to advanced graduate class on the second floor in a heavy loaded truck from the military.,1.0,0.0,13
147,94,287,5.0,Janet discussed about the disorganized project in the data for the analysis during the annual conference in Nepal for research endeavors.,Janet discussed during the annual conference in Nepal for research endeavors about the disorganized project in the data for the analysis.,0.0,1.0,15
148,94,91,3.0,Melissa awarded at the ceremony a shiny winning trophy for her performance.,Melissa awarded a shiny winning trophy for her performance at the ceremony.,0.0,1.0,16
149,94,39,6.0,Melissa made in her kitchen a multilevel sponge cake with pink bows.,Melissa made a multilevel sponge cake with pink bows in her kitchen.,0.0,1.0,17
150,94,244,2.0,John showed the Baroque building with the dome by the famous artist to the crowded group from America.,John showed the crowded group from America the Baroque building with the dome by the famous artist.,0.0,1.0,18
152,94,493,7.0,John pointed out the intricate design detail on the roof of the cathedral.,John pointed the intricate design detail on the roof of the cathedral out.,1.0,0.0,20
153,94,110,2.0,Melissa enjoyed during the day strenuous courses for her graduate program on astronomy under the famous professor.,Melissa enjoyed strenuous courses for her graduate program on astronomy under the famous professor during the day.,1.0,0.0,21
154,94,42,2.0,Melissa baked over the weekend a multilevel blue vanilla cake with her name with pink bows.,Melissa baked a multilevel blue vanilla cake with her name with pink bows over the weekend.,1.0,0.0,22
155,94,218,4.0,John built a speed boat for his kind disabled parents.,John built his kind disabled parents a speed boat.,1.0,0.0,23
157,94,97,1.0,Melissa made for the party fresh vegan muffins with egg substitute.,Melissa made fresh vegan muffins with egg substitute for the party.,0.0,1.0,25
158,94,11,1.0,Melissa gave at the ceremony a shiny gold winning trophy for her performance.,Melissa gave a shiny gold winning trophy for her performance at the ceremony.,0.0,1.0,26
159,94,283,3.0,Janet ate at the mall with Emily.,Janet ate with Emily at the mall.,0.0,1.0,27
160,94,150,6.0,John shipped pink flowers with trimmed stems to his roommate from Dubai.,John shipped his roommate from Dubai pink flowers with trimmed stems.,0.0,1.0,28
164,69,110,5.0,Melissa enjoyed during the day strenuous courses for her graduate program on astronomy under the famous professor.,Melissa enjoyed strenuous courses for her graduate program on astronomy under the famous professor during the day.,0.0,1.0,5
165,69,244,5.0,John showed the Baroque building with the dome by the famous artist to the crowded group from America.,John showed the crowded group from America the Baroque building with the dome by the famous artist.,0.0,1.0,6
166,69,218,6.0,John built a speed boat for his kind disabled parents.,John built his kind disabled parents a speed boat.,0.0,1.0,7
167,69,351,5.0,Janet chatted about a large raise for the budget for her project during the dedicated internal complaints meeting for speaking with HR about company funding.,Janet chatted during the dedicated internal complaints meeting for speaking with HR about company funding about a large raise for the budget for her project.,0.0,1.0,8
169,69,284,4.0,Janet went in a heavy loaded truck from the military to advanced graduate class on the second floor.,Janet went to advanced graduate class on the second floor in a heavy loaded truck from the military.,1.0,0.0,10
170,69,91,4.0,Melissa awarded at the ceremony a shiny winning trophy for her performance.,Melissa awarded a shiny winning trophy for her performance at the ceremony.,1.0,0.0,11
171,69,150,6.0,John shipped pink flowers with trimmed stems to his roommate from Dubai.,John shipped his roommate from Dubai pink flowers with trimmed stems.,1.0,0.0,12
172,69,287,4.0,Janet discussed about the disorganized project in the data for the analysis during the annual conference in Nepal for research endeavors.,Janet discussed during the annual conference in Nepal for research endeavors about the disorganized project in the data for the analysis.,1.0,0.0,13
174,69,39,1.0,Melissa made in her kitchen a multilevel sponge cake with pink bows.,Melissa made a multilevel sponge cake with pink bows in her kitchen.,0.0,1.0,15
175,69,97,2.0,Melissa made for the party fresh vegan muffins with egg substitute.,Melissa made fresh vegan muffins with egg substitute for the party.,0.0,1.0,16
176,69,283,4.0,Janet ate at the mall with Emily.,Janet ate with Emily at the mall.,0.0,1.0,17
177,69,493,7.0,John pointed out the intricate design detail on the roof of the cathedral.,John pointed the intricate design detail on the roof of the cathedral out.,0.0,1.0,18
179,69,54,2.0,Melissa made for the party a multilevel vanilla cake with her name in green frosting.,Melissa made a multilevel vanilla cake with her name in green frosting for the party.,1.0,0.0,20
180,69,482,5.0,John brought up the Chrome browser window with the questionnaire with his information for applying to college.,John brought the Chrome browser window with the questionnaire with his information for applying to college up.,1.0,0.0,21
181,69,358,3.0,Janet went with a large cheap van with space to the crowded folk music concert in the stadium on fourth street.,Janet went to the crowded folk music concert in the stadium on fourth street with a large cheap van with space.,1.0,0.0,22
182,69,329,6.0,Janet went in a big heavy loaded truck from the military to advanced economics class in the downtown campus.,Janet went to advanced economics class in the downtown campus in a big heavy loaded truck from the military.,1.0,0.0,23
184,69,11,3.0,Melissa gave at the ceremony a shiny gold winning trophy for her performance.,Melissa gave a shiny gold winning trophy for her performance at the ceremony.,0.0,1.0,25
185,69,342,5.0,Janet discussed about a large annual raise for her project with her new assigned economics team for stock predictions in the company.,Janet discussed with her new assigned economics team for stock predictions in the company about a large annual raise for her project.,0.0,1.0,26
186,69,42,3.0,Melissa baked over the weekend a multilevel blue vanilla cake with her name with pink bows.,Melissa baked a multilevel blue vanilla cake with her name with pink bows over the weekend.,0.0,1.0,27
187,69,114,3.0,Melissa baked in her kitchen a multilevel cake with her name in green frosting.,Melissa baked a multilevel cake with her name in green frosting in her kitchen.,0.0,1.0,28
191,44,218,7.0,John built a speed boat for his kind disabled parents.,John built his kind disabled parents a speed boat.,0.0,1.0,5
192,44,493,7.0,John pointed out the intricate design detail on the roof of the cathedral.,John pointed the intricate design detail on the roof of the cathedral out.,0.0,1.0,6
193,44,11,2.0,Melissa gave at the ceremony a shiny gold winning trophy for her performance.,Melissa gave a shiny gold winning trophy for her performance at the ceremony.,0.0,1.0,7
194,44,358,6.0,Janet went with a large cheap van with space to the crowded folk music concert in the stadium on fourth street.,Janet went to the crowded folk music concert in the stadium on fourth street with a large cheap van with space.,0.0,1.0,8
196,44,351,2.0,Janet chatted about a large raise for the budget for her project during the dedicated internal complaints meeting for speaking with HR about company funding.,Janet chatted during the dedicated internal complaints meeting for speaking with HR about company funding about a large raise for the budget for her project.,1.0,0.0,10
197,44,329,1.0,Janet went in a big heavy loaded truck from the military to advanced economics class in the downtown campus.,Janet went to advanced economics class in the downtown campus in a big heavy loaded truck from the military.,1.0,0.0,11
198,44,244,1.0,John showed the Baroque building with the dome by the famous artist to the crowded group from America.,John showed the crowded group from America the Baroque building with the dome by the famous artist.,1.0,0.0,12
199,44,114,1.0,Melissa baked in her kitchen a multilevel cake with her name in green frosting.,Melissa baked a multilevel cake with her name in green frosting in her kitchen.,1.0,0.0,13
201,44,342,6.0,Janet discussed about a large annual raise for her project with her new assigned economics team for stock predictions in the company.,Janet discussed with her new assigned economics team for stock predictions in the company about a large annual raise for her project.,0.0,1.0,15
202,44,284,1.0,Janet went in a heavy loaded truck from the military to advanced graduate class on the second floor.,Janet went to advanced graduate class on the second floor in a heavy loaded truck from the military.,0.0,1.0,16
203,44,110,2.0,Melissa enjoyed during the day strenuous courses for her graduate program on astronomy under the famous professor.,Melissa enjoyed strenuous courses for her graduate program on astronomy under the famous professor during the day.,0.0,1.0,17
204,44,283,5.0,Janet ate at the mall with Emily.,Janet ate with Emily at the mall.,0.0,1.0,18
206,44,287,6.0,Janet discussed about the disorganized project in the data for the analysis during the annual conference in Nepal for research endeavors.,Janet discussed during the annual conference in Nepal for research endeavors about the disorganized project in the data for the analysis.,1.0,0.0,20
207,44,91,2.0,Melissa awarded at the ceremony a shiny winning trophy for her performance.,Melissa awarded a shiny winning trophy for her performance at the ceremony.,1.0,0.0,21
208,44,42,2.0,Melissa baked over the weekend a multilevel blue vanilla cake with her name with pink bows.,Melissa baked a multilevel blue vanilla cake with her name with pink bows over the weekend.,1.0,0.0,22
209,44,150,6.0,John shipped pink flowers with trimmed stems to his roommate from Dubai.,John shipped his roommate from Dubai pink flowers with trimmed stems.,1.0,0.0,23
211,44,482,6.0,John brought up the Chrome browser window with the questionnaire with his information for applying to college.,John brought the Chrome browser window with the questionnaire with his information for applying to college up.,0.0,1.0,25
212,44,54,3.0,Melissa made for the party a multilevel vanilla cake with her name in green frosting.,Melissa made a multilevel vanilla cake with her name in green frosting for the party.,0.0,1.0,26
213,44,97,2.0,Melissa made for the party fresh vegan muffins with egg substitute.,Melissa made fresh vegan muffins with egg substitute for the party.,0.0,1.0,27
214,44,39,2.0,Melissa made in her kitchen a multilevel sponge cake with pink bows.,Melissa made a multilevel sponge cake with pink bows in her kitchen.,0.0,1.0,28
218,144,244,6.0,John showed the Baroque building with the dome by the famous artist to the crowded group from America.,John showed the crowded group from America the Baroque building with the dome by the famous artist.,0.0,1.0,5
219,144,150,6.0,John shipped pink flowers with trimmed stems to his roommate from Dubai.,John shipped his roommate from Dubai pink flowers with trimmed stems.,0.0,1.0,6
220,144,54,3.0,Melissa made for the party a multilevel vanilla cake with her name in green frosting.,Melissa made a multilevel vanilla cake with her name in green frosting for the party.,0.0,1.0,7
221,144,110,1.0,Melissa enjoyed during the day strenuous courses for her graduate program on astronomy under the famous professor.,Melissa enjoyed strenuous courses for her graduate program on astronomy under the famous professor during the day.,0.0,1.0,8
223,144,284,2.0,Janet went in a heavy loaded truck from the military to advanced graduate class on the second floor.,Janet went to advanced graduate class on the second floor in a heavy loaded truck from the military.,1.0,0.0,10
224,144,218,6.0,John built a speed boat for his kind disabled parents.,John built his kind disabled parents a speed boat.,1.0,0.0,11
225,144,283,2.0,Janet ate at the mall with Emily.,Janet ate with Emily at the mall.,1.0,0.0,12
226,144,493,6.0,John pointed out the intricate design detail on the roof of the cathedral.,John pointed the intricate design detail on the roof of the cathedral out.,1.0,0.0,13
228,144,342,5.0,Janet discussed about a large annual raise for her project with her new assigned economics team for stock predictions in the company.,Janet discussed with her new assigned economics team for stock predictions in the company about a large annual raise for her project.,0.0,1.0,15
229,144,287,5.0,Janet discussed about the disorganized project in the data for the analysis during the annual conference in Nepal for research endeavors.,Janet discussed during the annual conference in Nepal for research endeavors about the disorganized project in the data for the analysis.,0.0,1.0,16
230,144,39,1.0,Melissa made in her kitchen a multilevel sponge cake with pink bows.,Melissa made a multilevel sponge cake with pink bows in her kitchen.,0.0,1.0,17
231,144,11,2.0,Melissa gave at the ceremony a shiny gold winning trophy for her performance.,Melissa gave a shiny gold winning trophy for her performance at the ceremony.,0.0,1.0,18
233,144,351,5.0,Janet chatted about a large raise for the budget for her project during the dedicated internal complaints meeting for speaking with HR about company funding.,Janet chatted during the dedicated internal complaints meeting for speaking with HR about company funding about a large raise for the budget for her project.,1.0,0.0,20
234,144,91,2.0,Melissa awarded at the ceremony a shiny winning trophy for her performance.,Melissa awarded a shiny winning trophy for her performance at the ceremony.,1.0,0.0,21
235,144,329,2.0,Janet went in a big heavy loaded truck from the military to advanced economics class in the downtown campus.,Janet went to advanced economics class in the downtown campus in a big heavy loaded truck from the military.,1.0,0.0,22
236,144,358,2.0,Janet went with a large cheap van with space to the crowded folk music concert in the stadium on fourth street.,Janet went to the crowded folk music concert in the stadium on fourth street with a large cheap van with space.,1.0,0.0,23
238,144,42,1.0,Melissa baked over the weekend a multilevel blue vanilla cake with her name with pink bows.,Melissa baked a multilevel blue vanilla cake with her name with pink bows over the weekend.,0.0,1.0,25
239,144,482,5.0,John brought up the Chrome browser window with the questionnaire with his information for applying to college.,John brought the Chrome browser window with the questionnaire with his information for applying to college up.,0.0,1.0,26
240,144,114,1.0,Melissa baked in her kitchen a multilevel cake with her name in green frosting.,Melissa baked a multilevel cake with her name in green frosting in her kitchen.,0.0,1.0,27
241,144,97,1.0,Melissa made for the party fresh vegan muffins with egg substitute.,Melissa made fresh vegan muffins with egg substitute for the party.,0.0,1.0,28
245,119,287,5.0,Janet discussed about the disorganized project in the data for the analysis during the annual conference in Nepal for research endeavors.,Janet discussed during the annual conference in Nepal for research endeavors about the disorganized project in the data for the analysis.,0.0,1.0,5
246,119,150,7.0,John shipped pink flowers with trimmed stems to his roommate from Dubai.,John shipped his roommate from Dubai pink flowers with trimmed stems.,0.0,1.0,6
247,119,110,3.0,Melissa enjoyed during the day strenuous courses for her graduate program on astronomy under the famous professor.,Melissa enjoyed strenuous courses for her graduate program on astronomy under the famous professor during the day.,0.0,1.0,7
248,119,42,4.0,Melissa baked over the weekend a multilevel blue vanilla cake with her name with pink bows.,Melissa baked a multilevel blue vanilla cake with her name with pink bows over the weekend.,0.0,1.0,8
