workerid,proliferate.condition,attention,comments,id,response,sentence_a,sentence_b,shift_a,shift_b,slide_number_in_experiment,error
95,Group 9,0,,attention,,,,,,19,
95,Group 9,,,492,1,John called off the collaborative group meeting for the team for the past week.,John called the collaborative group meeting for the team for the past week off.,1,0,20,
95,Group 9,,,171,7,John showed his expensive handmade silk outfit for the gala for the evening to his trusted longtime friend with an art history degree.,John showed his trusted longtime friend with an art history degree his expensive handmade silk outfit for the gala for the evening.,1,0,21,
95,Group 9,,,240,7,John made a feast of pie for Mary.,John made Mary a feast of pie.,1,0,22,
95,Group 9,,,109,7,Melissa met in the store the mysterious man with the axe.,Melissa met the mysterious man with the axe in the store.,1,0,23,
95,Group 9,0,,attention,,,,,,24,
95,Group 9,,,153,1,John showed the tall church building with the dome from Italy to his sister.,John showed his sister the tall church building with the dome from Italy.,0,1,25,
95,Group 9,,,341,7,Janet negotiatied about a generous annual raise for the budget during the complaints meeting about company funding for organized projects.,Janet negotiatied during the complaints meeting about company funding for organized projects about a generous annual raise for the budget.,0,1,26,
95,Group 9,,,383,7,John put out the massive red fire in the living room.,John put the massive red fire in the living room out.,0,1,27,
95,Group 9,,,472,7,John made up the recipe without eggs.,John made the recipe without eggs up.,0,1,28,
95,Group 9,0,,attention,,,,,,29,
120,Group 9,,,example1,3,,,,,2,
120,Group 9,,,example2,5,,,,,3,
120,Group 9,,,472,7,John made up the recipe without eggs.,John made the recipe without eggs up.,0,1,5,
120,Group 9,,,260,7,Janet went to the old shopping mall with fast food with her annoying younger brother with the red hat.,Janet went with her annoying younger brother with the red hat to the old shopping mall with fast food.,0,1,6,
120,Group 9,,,371,5,Janet went in her small car with her favorite songs to the crowded folk music concert in downtown.,Janet went to the crowded folk music concert in downtown in her small car with her favorite songs.,0,1,7,
120,Group 9,,,387,7,John gave up his shameful secret in his marriage.,John gave his shameful secret in his marriage up.,0,1,8,
120,Group 9,0,,attention,,,,,,9,
120,Group 9,,,494,1,John put on a waterproof rain jacket with a hood with fleece lining.,John put a waterproof rain jacket with a hood with fleece lining on.,1,0,10,
120,Group 9,,,492,5,John called off the collaborative group meeting for the team for the past week.,John called the collaborative group meeting for the team for the past week off.,1,0,11,
120,Group 9,,,115,6,Melissa enjoyed at the college courses under the famous professor.,Melissa enjoyed courses under the famous professor at the college.,1,0,12,
120,Group 9,,,341,2,Janet negotiatied about a generous annual raise for the budget during the complaints meeting about company funding for organized projects.,Janet negotiatied during the complaints meeting about company funding for organized projects about a generous annual raise for the budget.,1,0,13,
120,Group 9,0,,attention,,,,,,14,
120,Group 9,,,233,7,John showed his outfit to his older step sister in Arkansas.,John showed his older step sister in Arkansas his outfit.,0,1,15,
120,Group 9,,,291,6,Janet went to the nearby old shopping mall with a food court with her good friend Emily and her friends from class.,Janet went with her good friend Emily and her friends from class to the nearby old shopping mall with a food court.,0,1,16,
120,Group 9,,,383,6,John put out the massive red fire in the living room.,John put the massive red fire in the living room out.,0,1,17,
120,Group 9,,,132,5,John drafted a serious long written letter for the financial account for the house for his family in the plains.,John drafted his family in the plains a serious long written letter for the financial account for the house.,0,1,18,
120,Group 9,0,,attention,,,,,,19,
120,Group 9,,,109,6,Melissa met in the store the mysterious man with the axe.,Melissa met the mysterious man with the axe in the store.,1,0,20,
120,Group 9,,,153,7,John showed the tall church building with the dome from Italy to his sister.,John showed his sister the tall church building with the dome from Italy.,1,0,21,
120,Group 9,,,357,6,Janet argued about the disorganized catastrophic project for the analysis with her new assigned team for stock predictions in the finance branch.,Janet argued with her new assigned team for stock predictions in the finance branch about the disorganized catastrophic project for the analysis.,1,0,22,
120,Group 9,,,240,6,John made a feast of pie for Mary.,John made Mary a feast of pie.,1,0,23,
120,Group 9,0,,attention,,,,,,24,
120,Group 9,,,171,7,John showed his expensive handmade silk outfit for the gala for the evening to his trusted longtime friend with an art history degree.,John showed his trusted longtime friend with an art history degree his expensive handmade silk outfit for the gala for the evening.,0,1,25,
120,Group 9,,,125,7,John cooked a celebratory feast of pie for his sick disabled mother at the care home.,John cooked his sick disabled mother at the care home a celebratory feast of pie.,0,1,26,
120,Group 9,,,152,4,John showed a new energetic danceable song from his favorite record label to his good friend.,John showed his good friend a new energetic danceable song from his favorite record label.,0,1,27,
120,Group 9,,,16,1,Melissa made in her kitchen a sponge cake.,Melissa made a sponge cake in her kitchen.,0,1,28,
120,Group 9,0,,attention,,,,,,29,
45,Group 9,,,example1,3,,,,,2,
45,Group 9,,,example2,6,,,,,3,
45,Group 9,,,171,5,John showed his expensive handmade silk outfit for the gala for the evening to his trusted longtime friend with an art history degree.,John showed his trusted longtime friend with an art history degree his expensive handmade silk outfit for the gala for the evening.,0,1,5,
45,Group 9,,,387,1,John gave up his shameful secret in his marriage.,John gave his shameful secret in his marriage up.,0,1,6,
45,Group 9,,,291,4,Janet went to the nearby old shopping mall with a food court with her good friend Emily and her friends from class.,Janet went with her good friend Emily and her friends from class to the nearby old shopping mall with a food court.,0,1,7,
45,Group 9,,,383,6,John put out the massive red fire in the living room.,John put the massive red fire in the living room out.,0,1,8,
45,Group 9,0,,attention,,,,,,9,
45,Group 9,,,109,7,Melissa met in the store the mysterious man with the axe.,Melissa met the mysterious man with the axe in the store.,1,0,10,
45,Group 9,,,260,6,Janet went to the old shopping mall with fast food with her annoying younger brother with the red hat.,Janet went with her annoying younger brother with the red hat to the old shopping mall with fast food.,1,0,11,
45,Group 9,,,233,2,John showed his outfit to his older step sister in Arkansas.,John showed his older step sister in Arkansas his outfit.,1,0,12,
45,Group 9,,,125,2,John cooked a celebratory feast of pie for his sick disabled mother at the care home.,John cooked his sick disabled mother at the care home a celebratory feast of pie.,1,0,13,
45,Group 9,0,,attention,,,,,,14,
45,Group 9,,,16,1,Melissa made in her kitchen a sponge cake.,Melissa made a sponge cake in her kitchen.,0,1,15,
45,Group 9,,,472,7,John made up the recipe without eggs.,John made the recipe without eggs up.,0,1,16,
45,Group 9,,,357,7,Janet argued about the disorganized catastrophic project for the analysis with her new assigned team for stock predictions in the finance branch.,Janet argued with her new assigned team for stock predictions in the finance branch about the disorganized catastrophic project for the analysis.,0,1,17,
45,Group 9,,,153,6,John showed the tall church building with the dome from Italy to his sister.,John showed his sister the tall church building with the dome from Italy.,0,1,18,
45,Group 9,0,,attention,,,,,,19,
45,Group 9,,,152,5,John showed a new energetic danceable song from his favorite record label to his good friend.,John showed his good friend a new energetic danceable song from his favorite record label.,1,0,20,
45,Group 9,,,341,3,Janet negotiatied about a generous annual raise for the budget during the complaints meeting about company funding for organized projects.,Janet negotiatied during the complaints meeting about company funding for organized projects about a generous annual raise for the budget.,1,0,21,
45,Group 9,,,371,5,Janet went in her small car with her favorite songs to the crowded folk music concert in downtown.,Janet went to the crowded folk music concert in downtown in her small car with her favorite songs.,1,0,22,
45,Group 9,,,492,1,John called off the collaborative group meeting for the team for the past week.,John called the collaborative group meeting for the team for the past week off.,1,0,23,
45,Group 9,0,,attention,,,,,,24,
45,Group 9,,,240,4,John made a feast of pie for Mary.,John made Mary a feast of pie.,0,1,25,
45,Group 9,,,132,6,John drafted a serious long written letter for the financial account for the house for his family in the plains.,John drafted his family in the plains a serious long written letter for the financial account for the house.,0,1,26,
45,Group 9,,,115,1,Melissa enjoyed at the college courses under the famous professor.,Melissa enjoyed courses under the famous professor at the college.,0,1,27,
45,Group 9,,,494,7,John put on a waterproof rain jacket with a hood with fleece lining.,John put a waterproof rain jacket with a hood with fleece lining on.,0,1,28,
45,Group 9,0,,attention,,,,,,29,
145,Group 9,,,example1,1,,,,,2,
145,Group 9,,,example2,7,,,,,3,
145,Group 9,,,472,7,John made up the recipe without eggs.,John made the recipe without eggs up.,0,1,5,
145,Group 9,,,115,4,Melissa enjoyed at the college courses under the famous professor.,Melissa enjoyed courses under the famous professor at the college.,0,1,6,
145,Group 9,,,16,1,Melissa made in her kitchen a sponge cake.,Melissa made a sponge cake in her kitchen.,0,1,7,
145,Group 9,,,132,7,John drafted a serious long written letter for the financial account for the house for his family in the plains.,John drafted his family in the plains a serious long written letter for the financial account for the house.,0,1,8,
145,Group 9,0,,attention,,,,,,9,
145,Group 9,,,152,7,John showed a new energetic danceable song from his favorite record label to his good friend.,John showed his good friend a new energetic danceable song from his favorite record label.,1,0,10,
145,Group 9,,,291,7,Janet went to the nearby old shopping mall with a food court with her good friend Emily and her friends from class.,Janet went with her good friend Emily and her friends from class to the nearby old shopping mall with a food court.,1,0,11,
145,Group 9,,,260,1,Janet went to the old shopping mall with fast food with her annoying younger brother with the red hat.,Janet went with her annoying younger brother with the red hat to the old shopping mall with fast food.,1,0,12,
145,Group 9,,,153,7,John showed the tall church building with the dome from Italy to his sister.,John showed his sister the tall church building with the dome from Italy.,1,0,13,
145,Group 9,0,,attention,,,,,,14,
145,Group 9,,,387,7,John gave up his shameful secret in his marriage.,John gave his shameful secret in his marriage up.,0,1,15,
145,Group 9,,,109,1,Melissa met in the store the mysterious man with the axe.,Melissa met the mysterious man with the axe in the store.,0,1,16,
145,Group 9,,,233,7,John showed his outfit to his older step sister in Arkansas.,John showed his older step sister in Arkansas his outfit.,0,1,17,
145,Group 9,,,383,7,John put out the massive red fire in the living room.,John put the massive red fire in the living room out.,0,1,18,
145,Group 9,0,,attention,,,,,,19,
145,Group 9,,,125,7,John cooked a celebratory feast of pie for his sick disabled mother at the care home.,John cooked his sick disabled mother at the care home a celebratory feast of pie.,1,0,20,
145,Group 9,,,341,4,Janet negotiatied about a generous annual raise for the budget during the complaints meeting about company funding for organized projects.,Janet negotiatied during the complaints meeting about company funding for organized projects about a generous annual raise for the budget.,1,0,21,
145,Group 9,,,371,7,Janet went in her small car with her favorite songs to the crowded folk music concert in downtown.,Janet went to the crowded folk music concert in downtown in her small car with her favorite songs.,1,0,22,
145,Group 9,,,357,1,Janet argued about the disorganized catastrophic project for the analysis with her new assigned team for stock predictions in the finance branch.,Janet argued with her new assigned team for stock predictions in the finance branch about the disorganized catastrophic project for the analysis.,1,0,23,
145,Group 9,0,,attention,,,,,,24,
145,Group 9,,,494,7,John put on a waterproof rain jacket with a hood with fleece lining.,John put a waterproof rain jacket with a hood with fleece lining on.,0,1,25,
145,Group 9,,,492,4,John called off the collaborative group meeting for the team for the past week.,John called the collaborative group meeting for the team for the past week off.,0,1,26,
145,Group 9,,,171,1,John showed his expensive handmade silk outfit for the gala for the evening to his trusted longtime friend with an art history degree.,John showed his trusted longtime friend with an art history degree his expensive handmade silk outfit for the gala for the evening.,0,1,27,
145,Group 9,,,240,1,John made a feast of pie for Mary.,John made Mary a feast of pie.,0,1,28,
145,Group 9,0,,attention,,,,,,29,
70,Group 9,,,example1,2,,,,,2,
70,Group 9,,,example2,5,,,,,3,
70,Group 9,,,383,6,John put out the massive red fire in the living room.,John put the massive red fire in the living room out.,0,1,5,
70,Group 9,,,341,7,Janet negotiatied about a generous annual raise for the budget during the complaints meeting about company funding for organized projects.,Janet negotiatied during the complaints meeting about company funding for organized projects about a generous annual raise for the budget.,0,1,6,
70,Group 9,,,16,1,Melissa made in her kitchen a sponge cake.,Melissa made a sponge cake in her kitchen.,0,1,7,
70,Group 9,,,260,3,Janet went to the old shopping mall with fast food with her annoying younger brother with the red hat.,Janet went with her annoying younger brother with the red hat to the old shopping mall with fast food.,0,1,8,
70,Group 9,0,,attention,,,,,,9,
70,Group 9,,,152,7,John showed a new energetic danceable song from his favorite record label to his good friend.,John showed his good friend a new energetic danceable song from his favorite record label.,1,0,10,
70,Group 9,,,132,5,John drafted a serious long written letter for the financial account for the house for his family in the plains.,John drafted his family in the plains a serious long written letter for the financial account for the house.,1,0,11,
70,Group 9,,,472,1,John made up the recipe without eggs.,John made the recipe without eggs up.,1,0,12,
70,Group 9,,,494,5,John put on a waterproof rain jacket with a hood with fleece lining.,John put a waterproof rain jacket with a hood with fleece lining on.,1,0,13,
70,Group 9,0,,attention,,,,,,14,
70,Group 9,,,109,1,Melissa met in the store the mysterious man with the axe.,Melissa met the mysterious man with the axe in the store.,0,1,15,
70,Group 9,,,233,7,John showed his outfit to his older step sister in Arkansas.,John showed his older step sister in Arkansas his outfit.,0,1,16,
70,Group 9,,,125,7,John cooked a celebratory feast of pie for his sick disabled mother at the care home.,John cooked his sick disabled mother at the care home a celebratory feast of pie.,0,1,17,
70,Group 9,,,115,1,Melissa enjoyed at the college courses under the famous professor.,Melissa enjoyed courses under the famous professor at the college.,0,1,18,
70,Group 9,0,,attention,,,,,,19,
70,Group 9,,,371,4,Janet went in her small car with her favorite songs to the crowded folk music concert in downtown.,Janet went to the crowded folk music concert in downtown in her small car with her favorite songs.,1,0,20,
70,Group 9,,,357,6,Janet argued about the disorganized catastrophic project for the analysis with her new assigned team for stock predictions in the finance branch.,Janet argued with her new assigned team for stock predictions in the finance branch about the disorganized catastrophic project for the analysis.,1,0,21,
70,Group 9,,,387,2,John gave up his shameful secret in his marriage.,John gave his shameful secret in his marriage up.,1,0,22,
70,Group 9,,,240,7,John made a feast of pie for Mary.,John made Mary a feast of pie.,1,0,23,
70,Group 9,1,,attention,,,,,,24,
70,Group 9,,,492,7,John called off the collaborative group meeting for the team for the past week.,John called the collaborative group meeting for the team for the past week off.,0,1,25,
70,Group 9,,,291,7,Janet went to the nearby old shopping mall with a food court with her good friend Emily and her friends from class.,Janet went with her good friend Emily and her friends from class to the nearby old shopping mall with a food court.,0,1,26,
70,Group 9,,,171,7,John showed his expensive handmade silk outfit for the gala for the evening to his trusted longtime friend with an art history degree.,John showed his trusted longtime friend with an art history degree his expensive handmade silk outfit for the gala for the evening.,0,1,27,
70,Group 9,,,153,7,John showed the tall church building with the dome from Italy to his sister.,John showed his sister the tall church building with the dome from Italy.,0,1,28,
70,Group 9,0,,attention,,,,,,29,
94,Group 24,,,example1,3,,,,,2,
94,Group 24,,,example2,6,,,,,3,
94,Group 24,,,358,2,Janet went with a large cheap van with space to the crowded folk music concert in the stadium on fourth street.,Janet went to the crowded folk music concert in the stadium on fourth street with a large cheap van with space.,0,1,5,
94,Group 24,,,342,6,Janet discussed about a large annual raise for her project with her new assigned economics team for stock predictions in the company.,Janet discussed with her new assigned economics team for stock predictions in the company about a large annual raise for her project.,0,1,6,
94,Group 24,,,54,1,Melissa made for the party a multilevel vanilla cake with her name in green frosting.,Melissa made a multilevel vanilla cake with her name in green frosting for the party.,0,1,7,
94,Group 24,,,329,3,Janet went in a big heavy loaded truck from the military to advanced economics class in the downtown campus.,Janet went to advanced economics class in the downtown campus in a big heavy loaded truck from the military.,0,1,8,
94,Group 24,0,,attention,,,,,,9,
94,Group 24,,,351,3,Janet chatted about a large raise for the budget for her project during the dedicated internal complaints meeting for speaking with HR about company funding.,Janet chatted during the dedicated internal complaints meeting for speaking with HR about company funding about a large raise for the budget for her project.,1,0,10,
94,Group 24,,,114,6,Melissa baked in her kitchen a multilevel cake with her name in green frosting.,Melissa baked a multilevel cake with her name in green frosting in her kitchen.,1,0,11,
94,Group 24,,,482,3,John brought up the Chrome browser window with the questionnaire with his information for applying to college.,John brought the Chrome browser window with the questionnaire with his information for applying to college up.,1,0,12,
94,Group 24,,,284,5,Janet went in a heavy loaded truck from the military to advanced graduate class on the second floor.,Janet went to advanced graduate class on the second floor in a heavy loaded truck from the military.,1,0,13,
94,Group 24,0,,attention,,,,,,14,
94,Group 24,,,287,5,Janet discussed about the disorganized project in the data for the analysis during the annual conference in Nepal for research endeavors.,Janet discussed during the annual conference in Nepal for research endeavors about the disorganized project in the data for the analysis.,0,1,15,
94,Group 24,,,91,3,Melissa awarded at the ceremony a shiny winning trophy for her performance.,Melissa awarded a shiny winning trophy for her performance at the ceremony.,0,1,16,
94,Group 24,,,39,6,Melissa made in her kitchen a multilevel sponge cake with pink bows.,Melissa made a multilevel sponge cake with pink bows in her kitchen.,0,1,17,
94,Group 24,,,244,2,John showed the Baroque building with the dome by the famous artist to the crowded group from America.,John showed the crowded group from America the Baroque building with the dome by the famous artist.,0,1,18,
94,Group 24,0,,attention,,,,,,19,
94,Group 24,,,493,1,John pointed out the intricate design detail on the roof of the cathedral.,John pointed the intricate design detail on the roof of the cathedral out.,1,0,20,
94,Group 24,,,110,6,Melissa enjoyed during the day strenuous courses for her graduate program on astronomy under the famous professor.,Melissa enjoyed strenuous courses for her graduate program on astronomy under the famous professor during the day.,1,0,21,
94,Group 24,,,42,6,Melissa baked over the weekend a multilevel blue vanilla cake with her name with pink bows.,Melissa baked a multilevel blue vanilla cake with her name with pink bows over the weekend.,1,0,22,
94,Group 24,,,218,4,John built a speed boat for his kind disabled parents.,John built his kind disabled parents a speed boat.,1,0,23,
94,Group 24,0,,attention,,,,,,24,
94,Group 24,,,97,1,Melissa made for the party fresh vegan muffins with egg substitute.,Melissa made fresh vegan muffins with egg substitute for the party.,0,1,25,
94,Group 24,,,11,1,Melissa gave at the ceremony a shiny gold winning trophy for her performance.,Melissa gave a shiny gold winning trophy for her performance at the ceremony.,0,1,26,
94,Group 24,,,283,3,Janet ate at the mall with Emily.,Janet ate with Emily at the mall.,0,1,27,
94,Group 24,,,150,6,John shipped pink flowers with trimmed stems to his roommate from Dubai.,John shipped his roommate from Dubai pink flowers with trimmed stems.,0,1,28,
94,Group 24,0,,attention,,,,,,29,
69,Group 24,,,example1,1,,,,,2,
69,Group 24,,,example2,7,,,,,3,
69,Group 24,,"""during the day"" should come after the verb ""enjoyed""",110,5,Melissa enjoyed during the day strenuous courses for her graduate program on astronomy under the famous professor.,Melissa enjoyed strenuous courses for her graduate program on astronomy under the famous professor during the day.,0,1,5,
69,Group 24,,"the word ""to"" makes the sentence sound better",244,5,John showed the Baroque building with the dome by the famous artist to the crowded group from America.,John showed the crowded group from America the Baroque building with the dome by the famous artist.,0,1,6,
69,Group 24,,"the word ""for"" improves the sound of the sentence",218,6,John built a speed boat for his kind disabled parents.,John built his kind disabled parents a speed boat.,0,1,7,
69,Group 24,,,351,5,Janet chatted about a large raise for the budget for her project during the dedicated internal complaints meeting for speaking with HR about company funding.,Janet chatted during the dedicated internal complaints meeting for speaking with HR about company funding about a large raise for the budget for her project.,0,1,8,
69,Group 24,0,,attention,,,,,,9,
69,Group 24,,,284,4,Janet went in a heavy loaded truck from the military to advanced graduate class on the second floor.,Janet went to advanced graduate class on the second floor in a heavy loaded truck from the military.,1,0,10,
69,Group 24,,,91,4,Melissa awarded at the ceremony a shiny winning trophy for her performance.,Melissa awarded a shiny winning trophy for her performance at the ceremony.,1,0,11,
69,Group 24,,,150,2,John shipped pink flowers with trimmed stems to his roommate from Dubai.,John shipped his roommate from Dubai pink flowers with trimmed stems.,1,0,12,
69,Group 24,,,287,4,Janet discussed about the disorganized project in the data for the analysis during the annual conference in Nepal for research endeavors.,Janet discussed during the annual conference in Nepal for research endeavors about the disorganized project in the data for the analysis.,1,0,13,
69,Group 24,0,,attention,,,,,,14,
69,Group 24,,,39,1,Melissa made in her kitchen a multilevel sponge cake with pink bows.,Melissa made a multilevel sponge cake with pink bows in her kitchen.,0,1,15,
69,Group 24,,,97,2,Melissa made for the party fresh vegan muffins with egg substitute.,Melissa made fresh vegan muffins with egg substitute for the party.,0,1,16,
69,Group 24,,,283,4,Janet ate at the mall with Emily.,Janet ate with Emily at the mall.,0,1,17,
69,Group 24,,,493,7,John pointed out the intricate design detail on the roof of the cathedral.,John pointed the intricate design detail on the roof of the cathedral out.,0,1,18,
69,Group 24,0,,attention,,,,,,19,
69,Group 24,,,54,6,Melissa made for the party a multilevel vanilla cake with her name in green frosting.,Melissa made a multilevel vanilla cake with her name in green frosting for the party.,1,0,20,
69,Group 24,,,482,3,John brought up the Chrome browser window with the questionnaire with his information for applying to college.,John brought the Chrome browser window with the questionnaire with his information for applying to college up.,1,0,21,
69,Group 24,,,358,5,Janet went with a large cheap van with space to the crowded folk music concert in the stadium on fourth street.,Janet went to the crowded folk music concert in the stadium on fourth street with a large cheap van with space.,1,0,22,
69,Group 24,,,329,2,Janet went in a big heavy loaded truck from the military to advanced economics class in the downtown campus.,Janet went to advanced economics class in the downtown campus in a big heavy loaded truck from the military.,1,0,23,
69,Group 24,0,,attention,,,,,,24,
69,Group 24,,,11,3,Melissa gave at the ceremony a shiny gold winning trophy for her performance.,Melissa gave a shiny gold winning trophy for her performance at the ceremony.,0,1,25,
69,Group 24,,,342,5,Janet discussed about a large annual raise for her project with her new assigned economics team for stock predictions in the company.,Janet discussed with her new assigned economics team for stock predictions in the company about a large annual raise for her project.,0,1,26,
69,Group 24,,,42,3,Melissa baked over the weekend a multilevel blue vanilla cake with her name with pink bows.,Melissa baked a multilevel blue vanilla cake with her name with pink bows over the weekend.,0,1,27,
69,Group 24,,,114,3,Melissa baked in her kitchen a multilevel cake with her name in green frosting.,Melissa baked a multilevel cake with her name in green frosting in her kitchen.,0,1,28,
69,Group 24,0,,attention,,,,,,29,
44,Group 24,,,example1,3,,,,,2,
44,Group 24,,,example2,6,,,,,3,
44,Group 24,,,218,7,John built a speed boat for his kind disabled parents.,John built his kind disabled parents a speed boat.,0,1,5,
44,Group 24,,,493,7,John pointed out the intricate design detail on the roof of the cathedral.,John pointed the intricate design detail on the roof of the cathedral out.,0,1,6,
44,Group 24,,,11,2,Melissa gave at the ceremony a shiny gold winning trophy for her performance.,Melissa gave a shiny gold winning trophy for her performance at the ceremony.,0,1,7,
44,Group 24,,,358,6,Janet went with a large cheap van with space to the crowded folk music concert in the stadium on fourth street.,Janet went to the crowded folk music concert in the stadium on fourth street with a large cheap van with space.,0,1,8,
44,Group 24,0,,attention,,,,,,9,
44,Group 24,,,351,6,Janet chatted about a large raise for the budget for her project during the dedicated internal complaints meeting for speaking with HR about company funding.,Janet chatted during the dedicated internal complaints meeting for speaking with HR about company funding about a large raise for the budget for her project.,1,0,10,
44,Group 24,,,329,7,Janet went in a big heavy loaded truck from the military to advanced economics class in the downtown campus.,Janet went to advanced economics class in the downtown campus in a big heavy loaded truck from the military.,1,0,11,
44,Group 24,,,244,7,John showed the Baroque building with the dome by the famous artist to the crowded group from America.,John showed the crowded group from America the Baroque building with the dome by the famous artist.,1,0,12,
44,Group 24,,,114,7,Melissa baked in her kitchen a multilevel cake with her name in green frosting.,Melissa baked a multilevel cake with her name in green frosting in her kitchen.,1,0,13,
44,Group 24,0,,attention,,,,,,14,
44,Group 24,,,342,6,Janet discussed about a large annual raise for her project with her new assigned economics team for stock predictions in the company.,Janet discussed with her new assigned economics team for stock predictions in the company about a large annual raise for her project.,0,1,15,
44,Group 24,,,284,1,Janet went in a heavy loaded truck from the military to advanced graduate class on the second floor.,Janet went to advanced graduate class on the second floor in a heavy loaded truck from the military.,0,1,16,
44,Group 24,,,110,2,Melissa enjoyed during the day strenuous courses for her graduate program on astronomy under the famous professor.,Melissa enjoyed strenuous courses for her graduate program on astronomy under the famous professor during the day.,0,1,17,
44,Group 24,,,283,5,Janet ate at the mall with Emily.,Janet ate with Emily at the mall.,0,1,18,
44,Group 24,0,,attention,,,,,,19,
44,Group 24,,,287,2,Janet discussed about the disorganized project in the data for the analysis during the annual conference in Nepal for research endeavors.,Janet discussed during the annual conference in Nepal for research endeavors about the disorganized project in the data for the analysis.,1,0,20,
44,Group 24,,,91,6,Melissa awarded at the ceremony a shiny winning trophy for her performance.,Melissa awarded a shiny winning trophy for her performance at the ceremony.,1,0,21,
44,Group 24,,,42,6,Melissa baked over the weekend a multilevel blue vanilla cake with her name with pink bows.,Melissa baked a multilevel blue vanilla cake with her name with pink bows over the weekend.,1,0,22,
44,Group 24,,,150,2,John shipped pink flowers with trimmed stems to his roommate from Dubai.,John shipped his roommate from Dubai pink flowers with trimmed stems.,1,0,23,
44,Group 24,0,,attention,,,,,,24,
44,Group 24,,,482,6,John brought up the Chrome browser window with the questionnaire with his information for applying to college.,John brought the Chrome browser window with the questionnaire with his information for applying to college up.,0,1,25,
44,Group 24,,,54,3,Melissa made for the party a multilevel vanilla cake with her name in green frosting.,Melissa made a multilevel vanilla cake with her name in green frosting for the party.,0,1,26,
44,Group 24,,,97,2,Melissa made for the party fresh vegan muffins with egg substitute.,Melissa made fresh vegan muffins with egg substitute for the party.,0,1,27,
44,Group 24,,,39,2,Melissa made in her kitchen a multilevel sponge cake with pink bows.,Melissa made a multilevel sponge cake with pink bows in her kitchen.,0,1,28,
44,Group 24,0,,attention,,,,,,29,
144,Group 24,,,example1,2,,,,,2,
144,Group 24,,,example2,6,,,,,3,
144,Group 24,,,244,6,John showed the Baroque building with the dome by the famous artist to the crowded group from America.,John showed the crowded group from America the Baroque building with the dome by the famous artist.,0,1,5,
144,Group 24,,,150,6,John shipped pink flowers with trimmed stems to his roommate from Dubai.,John shipped his roommate from Dubai pink flowers with trimmed stems.,0,1,6,
144,Group 24,,,54,3,Melissa made for the party a multilevel vanilla cake with her name in green frosting.,Melissa made a multilevel vanilla cake with her name in green frosting for the party.,0,1,7,
144,Group 24,,,110,1,Melissa enjoyed during the day strenuous courses for her graduate program on astronomy under the famous professor.,Melissa enjoyed strenuous courses for her graduate program on astronomy under the famous professor during the day.,0,1,8,
144,Group 24,0,,attention,,,,,,9,
144,Group 24,,,284,6,Janet went in a heavy loaded truck from the military to advanced graduate class on the second floor.,Janet went to advanced graduate class on the second floor in a heavy loaded truck from the military.,1,0,10,
144,Group 24,,,218,2,John built a speed boat for his kind disabled parents.,John built his kind disabled parents a speed boat.,1,0,11,
144,Group 24,,,283,6,Janet ate at the mall with Emily.,Janet ate with Emily at the mall.,1,0,12,
144,Group 24,,,493,2,John pointed out the intricate design detail on the roof of the cathedral.,John pointed the intricate design detail on the roof of the cathedral out.,1,0,13,
144,Group 24,0,,attention,,,,,,14,
